#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1722444004 1647600928 1313745070 24947811 416455121 329940111 377106675 1695974 101751 115575.57 124573.77 12596.93 4390.71
1722444015 1647600928 1313745070 24947811 416455121 329940113 377106759 1695974 101751 115575.61 124575.21 12596.89 4388.29
1722444025 1647600928 1313745070 24947811 416455121 329940115 377106846 1695974 101751 115575.77 124573.77 12596.72 4389.69
1722444036 1647601166 1313745098 24947811 416455121 329940119 377106933 1695974 101751 115576.63 124572.27 12595.84 4391.33
1722444046 1647601166 1313745098 24947811 416455121 329940121 377107017 1695974 101751 115576.80 124572.84 12595.69 4390.88
1722444057 1647601166 1313745098 24947811 416455121 329940122 377107101 1695974 101751 115576.66 124570.87 12595.83 4392.13
1722444067 1647601166 1313745098 24947811 416455121 329940124 377107185 1695974 101751 115572.49 124570.84 12599.97 4392.85
1722444077 1647601495 1313745164 24947811 416455121 329940126 377107268 1695974 101751 115572.04 124571.01 12600.45 4391.98
1722444088 1647601495 1313745164 24947811 416455121 329940131 377107353 1695974 101751 115568.86 124575.09 12603.63 4388.88
1722444098 1647601495 1313745164 24947811 416455121 329940133 377107437 1695974 101751 115568.52 124575.10 12603.97 4388.20
1722444109 1647601634 1313745166 24947811 416455121 329940134 377107522 1695974 101751 115568.13 124573.32 12604.36 4390.15
1722444119 1647601788 1313745198 24947811 416455121 329940139 377107608 1695974 101751 115566.66 124575.22 12605.84 4388.73
1722444129 1647601788 1313745198 24947811 416455121 329940141 377107692 1695974 101751 115566.30 124575.33 12606.19 4388.63
1722444140 1647601788 1313745198 24947811 416455121 329940143 377107776 1695974 101751 115565.34 124575.91 12607.15 4387.87
1722444150 1647602086 1313745226 24947811 416455121 329940145 377107864 1695974 101751 115568.00 124572.23 12604.49 4391.64
1722444161 1647602086 1313745226 24947811 416455121 329940147 377107949 1695974 101751 115567.89 124554.71 12604.57 4409.14
1722444171 1647602086 1313745226 24947811 416455121 329940148 377108033 1695974 101751 115567.57 124554.53 12604.92 4408.48
1722444182 1647602086 1313745226 24947811 416455121 329940150 377108117 1695974 101751 115567.62 124555.77 12604.87 4407.44
1722444192 1647602379 1313745264 24947811 416455121 329940153 377108201 1695974 101751 115565.79 124555.54 12606.70 4408.46
1722444202 1647602379 1313745264 24947811 416455121 329940155 377108285 1695974 101751 115565.54 124557.50 12606.95 4406.39
1722444213 1647602379 1313745264 24947811 416455121 329940185 377108340 1695974 101751 115561.57 124559.51 12611.44 4403.93
1722444223 1647602379 1313745264 24947811 416455121 329940271 377108341 1695974 101751 115560.87 124559.07 12611.25 4404.36
1722444234 1647602636 1313745294 24947811 416455121 329940359 377108341 1695975 101751 115559.42 124558.72 12612.91 4404.71
1722444244 1647602636 1313745294 24947811 416455121 329940444 377108342 1695975 101751 115562.42 124558.33 12610.56 4405.11
1722444255 1647602636 1313745294 24947811 416455121 329940530 377108342 1695975 101751 115561.44 124558.26 12610.91 4405.18
1722444265 1647602636 1313745294 24947811 416455121 329940615 377108343 1695975 101751 115561.46 124557.91 12611.14 4405.53
1722444275 1647602832 1313745310 24947811 416455121 329940697 377108410 1695975 101751 115623.34 124494.26 12549.99 4469.18
1722444286 1647602832 1313745310 24947811 416455121 329940783 377108412 1695975 101751 115625.95 124492.78 12547.11 4470.66
