time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1722444735        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444745        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444755        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444766        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444776        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444786        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444796        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444807        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444817        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444828        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444838        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444848        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444859        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444869        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444879        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444890        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444900        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444910        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444921        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444931        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444941        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444952        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444962        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444972        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444983        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444993        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722445004        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
