#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1722461119        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461130        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461140        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461150        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461161        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461171        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461181        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461191        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722461202        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461212        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722461222        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461233        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461243        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461253        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461264        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461275        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461285        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461295        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461306        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461316        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461326        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722461337        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461347        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722461357        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461368        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461378        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461388        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461399        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461409        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461419        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
